cc_delayed_natal_kick_00  0.000000000E+00  0.000000000E+00  0.000000000E+00
cc_delayed_natal_kick_01  0.000000000E+00  2.032785651E+00  1.291580529E+00
cc_delayed_natal_kick_02  2.040816327E+00  1.525822565E+00  3.789723737E-01
cc_delayed_natal_kick_03  4.081632653E+00  1.741699454E+00  5.291577251E+00
cc_delayed_natal_kick_04  6.122448980E+00  1.169908776E+00  3.911310542E+00
cc_delayed_natal_kick_05  8.163265306E+00  1.998026183E+00  4.072534984E+00
cc_delayed_natal_kick_06  1.020408163E+01  1.773085132E+00  1.515550711E+00
cc_delayed_natal_kick_07  1.224489796E+01  9.250178309E-01  2.552479711E+00
cc_delayed_natal_kick_08  1.428571429E+01  1.552379824E+00  2.571408796E+00
cc_delayed_natal_kick_09  1.632653061E+01  1.577946016E+00  2.546835592E+00
cc_delayed_natal_kick_10  1.836734694E+01  2.649874119E+00  1.689705234E+00
cc_delayed_natal_kick_11  2.040816327E+01  1.213443626E+00  6.506000792E-01
cc_delayed_natal_kick_12  2.244897959E+01  1.066716976E+00  4.647332646E+00
cc_delayed_natal_kick_13  2.448979592E+01  1.743947008E+00  2.583927222E+00
cc_delayed_natal_kick_14  2.653061224E+01  1.377224166E+00  3.188117065E+00
cc_delayed_natal_kick_15  2.857142857E+01  6.332974395E-01  4.991732399E+00
cc_delayed_natal_kick_16  3.061224490E+01  2.816633474E+00  8.180555603E-01
cc_delayed_natal_kick_17  3.265306122E+01  1.280294364E+00  5.934401112E+00
cc_delayed_natal_kick_18  3.469387755E+01  3.904587915E-01  1.060339379E+00
cc_delayed_natal_kick_19  3.673469388E+01  1.224289513E+00  5.016250145E+00
cc_delayed_natal_kick_20  3.877551020E+01  2.255641137E+00  3.083465245E+00
cc_delayed_natal_kick_21  4.081632653E+01  1.934519248E+00  2.728674049E+00
cc_delayed_natal_kick_22  4.285714286E+01  2.035272083E+00  2.621543171E+00
cc_delayed_natal_kick_23  4.489795918E+01  8.423299092E-01  2.826249943E+00
cc_delayed_natal_kick_24  4.693877551E+01  1.730214858E+00  2.105515065E+00
cc_delayed_natal_kick_25  4.897959184E+01  1.439879277E+00  5.708431232E+00
cc_delayed_natal_kick_26  5.102040816E+01  1.847751068E+00  6.269557138E+00
cc_delayed_natal_kick_27  5.306122449E+01  3.066084063E+00  4.855341676E+00
cc_delayed_natal_kick_28  5.510204082E+01  1.568995335E+00  5.356215782E-01
cc_delayed_natal_kick_29  5.714285714E+01  7.717136888E-01  2.998526075E+00
cc_delayed_natal_kick_30  5.918367347E+01  1.769050454E+00  1.068206737E-01
cc_delayed_natal_kick_31  6.122448980E+01  1.591034416E+00  2.899317550E+00
cc_delayed_natal_kick_32  6.326530612E+01  1.287911904E+00  3.895506687E+00
cc_delayed_natal_kick_33  6.530612245E+01  8.866455215E-01  3.542622337E+00
cc_delayed_natal_kick_34  6.734693878E+01  8.083155751E-01  3.123681515E+00
cc_delayed_natal_kick_35  6.938775510E+01  2.144075948E+00  1.437054093E+00
cc_delayed_natal_kick_36  7.142857143E+01  1.623568632E+00  2.334550432E-01
cc_delayed_natal_kick_37  7.346938776E+01  2.757691966E+00  2.691869746E+00
cc_delayed_natal_kick_38  7.551020408E+01  1.925449829E+00  5.624805950E+00
cc_delayed_natal_kick_39  7.755102041E+01  2.469621002E+00  1.988137106E+00
cc_delayed_natal_kick_40  7.959183673E+01  9.402398405E-01  2.192658975E+00
cc_delayed_natal_kick_41  8.163265306E+01  2.826827351E+00  2.854644509E+00
cc_delayed_natal_kick_42  8.367346939E+01  6.498197673E-01  2.909556910E+00
cc_delayed_natal_kick_43  8.571428571E+01  1.227020987E+00  3.517059807E+00
cc_delayed_natal_kick_44  8.775510204E+01  1.015866247E+00  3.697830656E+00
cc_delayed_natal_kick_45  8.979591837E+01  1.673667691E+00  1.327240706E+00
cc_delayed_natal_kick_46  9.183673469E+01  5.275538510E-01  5.528103916E+00
cc_delayed_natal_kick_47  9.387755102E+01  1.276337925E+00  2.044358866E+00
cc_delayed_natal_kick_48  9.591836735E+01  1.234722362E+00  6.198419053E+00
cc_delayed_natal_kick_49  9.795918367E+01  9.277271592E-01  5.633853091E+00
